comment,rate
", chỉ thừa với nhiều . Đáy quần bị đùng  nên k ưng lắm mà so với giá thì chấp nhận được",3
", tiền nào của nấy ...nhxycyfufugjgugjgugufufufufufufugugufuu",3
":))))) trên ảnh hồng cute về nhà hồng cánh sen chán muốn chửi cmn tục
Chun bên dưới kéo vào lại lỏng ra như bth ảnh ảo ma shizuka lắm",1
":)))) chả hiểu sao mỗi bên túi 1 màu :))) màu thì kiểu cũ cũ , như màu mặc 1 thời gian n bị phai bạc đi . Túi 1 bên cao 1 bên thấp , đường may  thì uốn lượn :))",1
":)))) quần size S mà vừa to vừa dài m61 mặc còn dài nữa chất vải rất nóng không đáng mua 
Lần đầu mua mà thất vọng :)))",2
:)) dởm,1
":)) logo khâu không đều thất vọng, cả giày nhận về cũng không giống các feedback khác lắm @@ giày kh bị móp, bị hộp thôi nhưng hơi buồn, logo air thêu thiếu chữ r dán số size để che bỏ 😃",3
":) hôi mùi keo nhựa quá, dép bị dơ, nhìn sơ xài lắm lun",3
":) sticker xinh nên bị stolen
Dỗi shop nên đánh giá 2.5 sao
Mà 2.5 thì làm tròn lên 3 nên cho 3 sao",3
!!!,3
????????,2
??? Là xao v shop? Đặt đen giao trắng? Độn ko cao? Hình bị cong ? Không giống trong video? Bên trái của shop ko độn cao hơn ? Đã so sánh ntn ròi,2
??? quần ms mua về mặc đc 1 lần rác đáy ???,1
.,2
…,5
...,2
......,2
........tạm,3
.......c,1
. giao hàng quá nhanh quá bất ngờ nên đánh giá 2 Sao,2
". Giày giao khá nhanh nhưng về đến tay thì hộp méo lại còn bị rạch tung ra nữa. Phần đế giày bị ngả màu. Lỗ xỏ dây thì 2 bên k đều nhau, phần má giày bị gãy rất nhiều. Phần lưỡi gà tưởng là da mà hoá ra là vải trông xấu thật sự. Lần đầu mua hàng của shop mà thất vọng quá sẽ k có lần 2",1
".ko giao đúng mẫu chất vãi quá mỏng .
(hình ảnh mang tính chất nhận xu )",1
". shop nhiệt tình rep tn nhanh giao  nhanh 
. lần sau vào ủng hộ shop tiếp nè ❤️",5
".spham đẹp, giao hàng quá lâu",4
"''Hàng ngàn du khách đã check-in, ngắm sắc vàng hoa dã quỳ, trải nghiệm bay dù lượn trên miệng núi lửa Chư Đăng Ya trong khuôn khổ ""Tuần lễ hoa dã quỳ - núi lửa Chư Đăng Ya"". ''",5
"""""Hình ảnh and vd mang tính chất nhận xu"""" ao tạm ổn,...:))))",5
"""Làm cho bản thân bận rộn một chút, bận rộn đến mức không còn thời gian để suy nghĩ linh tinh được nữa thì rất nhiều chuyện sẽ cứ thế mà lặng lẽ qua đi..""",5
""" Ngày trước mỗi khi buồn là mình hay khóc nhưng bây giờ mình không khóc nữa, không phải là mình hết buồn, mà là không biết diễn tả nỗi buồn này như thế nào nữa... ""
 
Xinhhh",5
